Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /orders (EXPIRED coupon),555,0,14,24.053354216120752,6.071224008337595,544.09882100299,197.86666666666667,4.654506738465141,0.0,14,19,23,26,37,70,130,200,540,540,540
POST,POST /orders (FIXED coupon),1737,0,13,22.491762012105678,5.748202005634084,882.2969229950104,214.25791594703512,14.567348116601712,0.0,13,18,21,23,35,67,140,170,710,880,880
POST,"POST /orders (MIN coupon, mostly reject)",561,0,13,20.11044094276344,6.400557002052665,541.0451689967886,229.90552584670232,4.704825730232332,0.0,13,17,20,23,30,44,100,140,540,540,540
POST,POST /orders (RATE coupon),1723,0,13,23.414582260714756,6.229033999261446,889.3108500051312,214.2774230992455,14.4499371358116,0.0,13,17,21,24,35,78,130,180,750,890,890
POST,POST /orders (no coupon),1157,0,14,23.95461209744413,6.473778004874475,613.9131789968815,414.8349178910977,9.703178912439943,0.0,14,19,22,25,35,68,150,200,610,610,610
,Aggregated,5733,0,13,22.98248229649734,5.748202005634084,889.3108500051312,254.6874236874237,48.07979663355073,0.0,13,18,21,24,34,68,130,180,610,890,890
