Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /coupon-events/{id}/issue,7381,0,6,10.031921826956847,2.696462004678324,354.2857489956077,207.8880910445739,124.41804107216409,0.0,6,7,9,10,17,24,42,73,320,350,350
,Aggregated,7381,0,6,10.031921826956847,2.696462004678324,354.2857489956077,207.8880910445739,124.41804107216409,0.0,6,7,9,10,17,24,42,73,320,350,350
