Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /coupon-events/{id}/issue,73419,1047,700,1008.0149995065331,143.76481001090724,19504.150702006882,202.09155668151297,402.1751454720673,5.735264404435561,700,760,820,850,1000,1300,9100,11000,16000,19000,20000
,Aggregated,73419,1047,700,1008.0149995065331,143.76481001090724,19504.150702006882,202.09155668151297,402.1751454720673,5.735264404435561,700,760,820,850,1000,1300,9100,11000,16000,19000,20000
