Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /coupon-events/{id}/issue,8213,0,7,13.293685646784082,2.6713900006143376,334.7452290036017,224.89139169609157,138.93492058549793,0.0,7,12,17,19,23,29,53,110,290,330,330
,Aggregated,8213,0,7,13.293685646784082,2.6713900006143376,334.7452290036017,224.89139169609157,138.93492058549793,0.0,7,12,17,19,23,29,53,110,290,330,330
