Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /coupon-events/{id}/issue,5288,0,7,14.357699082944558,2.7736789925256744,374.79270399489906,204.93419062027232,89.41944306844931,0.0,7,11,16,19,26,46,86,110,360,370,370
,Aggregated,5288,0,7,14.357699082944558,2.7736789925256744,374.79270399489906,204.93419062027232,89.41944306844931,0.0,7,11,16,19,26,46,86,110,360,370,370
