Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /coupon-events/{id}/issue,15306,0,89,99.06989523575233,3.3277659968007356,307.6010000077076,206.96896641839803,256.76171064542694,0.0,89,100,120,130,150,170,210,230,270,280,310
,Aggregated,15306,0,89,99.06989523575233,3.3277659968007356,307.6010000077076,206.96896641839803,256.76171064542694,0.0,89,100,120,130,150,170,210,230,270,280,310
